Total unique instances: 7745
Total mastodon.social instances: 137991
Total non-mastodon.social instances: 98486

Instance Rankings:
fla.red: 7
awoo.fyi: 7
eunivers.social: 7
red.fox.yt: 7
floofy.tech: 7
write.privacytools.io: 7
efdn.club: 7
habitat.lunarpunk.space: 7
redwombat.social: 7
toki.social: 7
a.nti.social: 7
support.m.to: 7
meld.de: 7
extranet.palaven.space: 7
pixelfed.se: 7
www.yiny.org: 7
eattherich.club: 7
hessen.social: 7
afu.social: 7
respublicae.eu: 7
video.omniatv.com: 7
tvitero.com: 7
ilovela.in: 7
bittube.video: 7
fe.disroot.org: 7
networked.space: 7
helladoge.com: 7
sect.sunbutt.faith: 7
sueden.social: 7
indiefedi.party: 7
paper.wf: 7
mastodon.com.br: 6
pouet.chapril.org: 6
mastodon.engineering: 6
aspiechattr.me: 6
gs.archae.me: 6
cloutfla.re: 6
social.nixnet.services: 6
balkan.fedive.rs: 6
pgh.social: 6
kurage.cc: 6
social.dev-wiki.de: 6
bobadon.co.uk: 6
cga.graphics: 6
gamedev.lgbt: 6
mhz.social: 6
nomofomo.social: 6
netzsphaere.xyz: 6
kafuka.me: 6
peertube.parleur.net: 6
betamax.video: 6
prismo.news: 6
hub.spaz.org: 6
tw1tter.com: 6
opensocial.africa: 6
mastodon.night.coffee: 6
capitalism.party: 6
witches.academy: 6
d25.community: 6
mastodon.nuzgo.net: 6
eupublic.social: 6
lazer.pizza: 6
neenster.org: 6
geeks.one: 6
gnusocial.cc: 6
stereodon.social: 6
topspicy.social: 6
explosion.party: 6
halifaxsocial.ca: 6
orbistertius.masto.host: 6
decept.org: 6
fluffs.au: 6
mastodon.furrycon.social: 6
dook.business: 6
s.knusper-land.de: 6
lhub.social: 6
mghk.space: 6
felesitas.cloud: 6
horche.demkontinuum.de: 6
off-the-clock.us: 6
raconteur.ink: 6
liker.social: 6
homoo.social: 6
ican.codes: 6
collapsitarian.io: 6
social.freetalklive.com: 6
mastodon.madrid: 6
social.thevillage.chat: 6
bildung.social: 6
lesbian.solutions: 6
crinklefur.club: 6
twista.283.cloud: 6
m6n.onsen.tech: 6
diymusic.space: 6
social.lab.cultura.gov.br: 6
whomst.dog: 6
forgi.social: 6
social.glados.ch: 6
mastodon.dremtech.fr: 6
saigodon.jp: 6
mastodon.cemea.org: 6
nog20.social: 6
mastodon.moe: 6
mastodon.hypnoguys.com: 6
mastodon.linuxkompis.se: 6
morse.social: 6
video.colibris-outilslibres.org: 6
social.coletivos.org: 6
imvegan.fyi: 6
toot.party: 6
mastodon.fedi.quebec: 6
peertube.touhoppai.moe: 6
pleroma.in.th: 6
socnet.supes.com: 6
mhc.social: 6
redliberal.com: 6
pixelfed.sdf.org: 6
persadon.com: 6
geno.social: 6
futuregadgetlab.cc: 6
social.saarland: 6
mdn.crows.tokyo: 6
oriwebdon.com: 6
pcgamer.social: 6
misskey.weebcouncil.online: 6
enigmatic.observer: 6
birdity.club: 6
point.community: 6
opensocial.at: 6
milker.cafe: 6
don.blognot.co: 6
weeb.su: 6
friends.grishka.me: 5
mastodon.matrix.org: 5
ohai.su: 5
mastodon.babycastles.com: 5
social.arnip.org: 5
nrd.li: 5
olifantje.net: 5
idevs.id: 5
peertube.cpy.re: 5
ap.kios.cc: 5
harpy.life: 5
people.kernel.org: 5
gnusocial.club: 5
mastodon.hr: 5
pleroma.gaos.org: 5
literatur.social: 5
xindejiayuan.com: 5
mastodon.transneptune.net: 5
birb.site: 5
med-mastodon.com: 5
the.scream.zone: 5
lonely.town: 5
econtwitter.net: 5
assortedflotsam.com: 5
blobturtle.club: 5
mstdn.misosi.ru: 5
babymetal.party: 5
tebukuro.pw: 5
pixfed.com: 5
twinkaga.in: 5
mastodon.content.town: 5
swiss.social: 5
queer.cloud: 5
the9thcircle.club: 5
lile.cl: 5
cervidae.space: 5
ecosteader.com: 5
better.boston: 5
autonomous.zone: 5
osada.usezot.net: 5
oceansocial.us: 5
not.phrack.fyi: 5
social.etc-services.de: 5
anitwitter.com: 5
m.gandi.social: 5
prettyqueer.online: 5
squawk.social: 5
dystopian.fun: 5
suedi.club: 5
climatejustice.rocks: 5
blurts.net: 5
mastodon.multimob.be: 5
algonoise.social: 5
thepractice.space: 5
mastodon.groningendigitalcity.com: 5
mstdn.nl: 5
video.hardlimit.com: 5
stranger.social: 5
androiddev.social: 5
mstdn.plus: 5
neurodifferent.me: 5
awscommunity.social: 5
discuss.systems: 5
ennui.industries: 5
moresci.sale: 5
left.community: 5
57n.org: 5
meows.life: 5
mstdn.science: 5
wrasstodon.pro: 5
nya.social: 5
everything.happens.horse: 5
bonequest.net: 5
syasai.club: 5
mastodon.nopasaran.red: 5
hyenas.space: 5
tweeps.link: 5
mond-basis.eu: 5
sauropods.win: 5
toad.social: 5
furry.horse: 5
displaced.social: 5
bears.town: 5
canislupus.im: 5
pets-in.space: 5
mstdn.mini4wd-engineer.com: 5
bidule.menf.in: 5
conspiracyfiles.net: 5
propulse.club: 5
bbs.kawa-kun.com: 5
fedi.offrealms.space: 5
rollenspiel.social: 5
fumi.39.gy: 5
eizodon.jp: 5
kitty.social: 5
hotwife.social: 5
nafo.uk: 5
zap.dog: 5
mstdn.id: 5
social.librenet.co.za: 5
antabaka.me: 5
node9.org: 5
hoezithetnuecht.nl: 5
misskey.art: 5
ondergrond.org: 5
dobremiejsce.robmydobrze.pl: 5
peertube.osureplayviewer.xyz: 5
is.badat.dev: 5
jubi.life: 5
vmst.io: 5
mastodon.direct: 5
midnight.dance: 5
social.consumium.org: 5
genomic.social: 5
social.esadhar.net: 5
journa.host: 5
agoni.news: 5
t.con.sh: 5
mamout.xyz: 5
m4570.xyz: 5
mammout.bzh: 5
masto.se: 5
aidon.club: 5
mastodon.huma-num.fr: 5
www.mstddntfdn.online: 5
mastodon.noraworld.jp: 5
social.hatthieves.es: 5
tube.calculate.social: 5
chaosfurs.social: 5
